fold,n_train_windows,n_test_windows,n_test_segments,n_test_segments_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,13480,2700,132,39,0.75,0.5833333333333334,0.5384615384615384,0.56,0.6747958014967429,0.7885304659498207
1,13460,2720,128,35,0.7265625,0.5,0.6,0.5454545454545454,0.6679179642282741,0.7923195084485406
2,13500,2680,129,37,0.751937984496124,0.5806451612903226,0.4864864864864865,0.5294117647058824,0.6592328413087061,0.8281433607520564
3,13460,2720,129,35,0.7596899224806202,0.5454545454545454,0.6857142857142857,0.6075949367088608,0.7310538075085002,0.8238601823708207
4,13500,2680,131,39,0.6412213740458015,0.42,0.5384615384615384,0.47191011235955055,0.6516377813171212,0.7681159420289855
5,13500,2680,132,40,0.7424242424242424,0.5625,0.675,0.6136363636363636,0.7273079797758413,0.8065217391304348
