fold,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,240,220,140,0.8909090909090909,0.8625,0.9857142857142858,0.92,0.9687448553809697,0.9515178571428571
1,220,240,140,0.7416666666666667,0.90625,0.6214285714285714,0.7372881355932204,0.9496856262450672,0.936
