fold,n_train_windows,n_test_windows,n_test_segments,n_test_segments_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,1600,780,21,2,0.42857142857142855,0.14285714285714285,1.0,0.25,1.0,1.0
1,1600,780,21,3,0.42857142857142855,0.2,1.0,0.3333333333333333,0.8055555555555556,0.9629629629629629
2,1560,820,21,1,0.5714285714285714,0.0,0.0,0.0,0.058823529411764705,0.19999999999999996
