fold,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,13560,2620,780,0.7183206106870229,0.5160550458715596,0.8653846153846154,0.646551724137931,0.7937669406117347,0.8730284977703456
1,13580,2600,760,0.7811538461538462,0.6004206098843323,0.7513157894736842,0.6674459380479252,0.8057134461144531,0.8836152030892448
2,13480,2700,880,0.7544444444444445,0.611740473738414,0.675,0.6418152350081038,0.7705332868978982,0.8574843906093906
3,13320,2860,960,0.7646853146853146,0.6081386586284853,0.840625,0.7057280279842588,0.8234608260562416,0.8900942982456141
4,13480,2700,840,0.7922222222222223,0.6422018348623854,0.75,0.6919275123558485,0.797443574559074,0.8704246671786994
5,13480,2700,840,0.7937037037037037,0.6204255319148936,0.8678571428571429,0.7235732009925558,0.838282663930322,0.9154163466461854
