fold,n_train_windows,n_test_windows,n_test_segments,n_test_segments_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,380,400,12,3,0.16666666666666666,0.0,0.0,0.0,0.19461279461279463,0.11111111111111116
1,400,380,11,3,0.2727272727272727,0.0,0.0,0.0,0.19461279461279463,0.0
