fold,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,240,220,140,0.6318181818181818,0.927536231884058,0.45714285714285713,0.6124401913875598,0.8972870337370775,0.8092857142857143
1,220,240,140,0.6875,0.9012345679012346,0.5214285714285715,0.6606334841628959,0.9092306836086279,0.8924285714285715
