fold,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc
0,13480,2700,880,0.6633333333333333,0.48810500410172275,0.6761363636363636,0.5669366364935684,0.5972180456636492,0.7566814435564435
1,13500,2680,820,0.7067164179104478,0.5116120218579235,0.9134146341463415,0.6558669001751314,0.7738743539193941,0.8754074875426173
2,13460,2720,860,0.7716911764705883,0.6186693147964251,0.7244186046511628,0.6673808248527049,0.8072711266796301,0.8749899974993749
3,13520,2660,740,0.7691729323308271,0.5645491803278688,0.7445945945945946,0.6421911421911422,0.711667246932335,0.8554979588963963
4,13500,2680,860,0.8350746268656717,0.754257907542579,0.7209302325581395,0.737217598097503,0.840121291064048,0.9046428571428571
5,13440,2740,900,0.7813868613138686,0.6781065088757396,0.6366666666666667,0.6567335243553009,0.7800969212486658,0.8577895531400966
