Rank based on 3 metrics,,,Overall AUC,,,Average AUC across patients,,,Minimum AUC across patients,,
team,soln. file,avg. rank,team,soln. file,AUC,team,soln. file,AUC,team,soln. file,AUC
hlya23dd,solution_1_mm2m2.csv,33.6667,michaln,contest_solution_file_1.csv,0.7158,hlya23dd,solution_1_mm2m2.csv,0.72819,hlya23dd,solution_9_sb2s5s3.csv,0.66355
michaln,contest_solution_file_6.csv,35.3333,hlya23dd,solution_4_s1s2s1.csv,0.71388,hlya23dd,solution_2_ms2m2.csv,0.72235,dvarnai,test1.csv,0.65951
dvarnai,test2.csv,37,dvarnai,test2.csv,0.70642,notsorandomanymore,winning_solution.csv,0.71817,dvarnai,test6.csv,0.64827
dvarnai,test6.csv,37,dvarnai,test1.csv,0.70004,dvarnai,test6.csv,0.71778,sfwon17,ef_merge.csv,0.61834
sfwon17,ef_merge(short).csv,37.3333,hlya23dd,solution_1_mm2m2.csv,0.68629,dvarnai,test2.csv,0.71331,michaln,contest_solution_file_6.csv,0.60473
hlya23dd,solution_2_ms2m2.csv,37.6667,hlya23dd,solution_8_sb1s5s3.csv,0.68364,dvarnai,test1.csv,0.70711,sfwon17,ef_merge(short).csv,0.57186
dvarnai,test1.csv,39,MatthiasEb,nv1x16_val_1.csv,0.65644,sfwon17,ef_merge(short).csv,0.6996,notsorandomanymore,winning_solution.csv,0.55229
michaln,contest_solution_file_1.csv,41,MatthiasEb,nv1x16_val_2.csv,0.64391,michaln,contest_solution_file_1.csv,0.61647,dvarnai,solution.csv,0.5
MatthiasEb,nv1x16_val_2.csv,45.3333,MatthiasEb,nv1x16_posteriori.csv,0.64362,dvarnai,solution.csv,0.61332,michaln,contest_solution_file_1.csv,0.47689
dvarnai,solution.csv,46.6667,MatthiasEb,nv1x16_val_5.csv,0.6343,MatthiasEb,nv1x16_val_2.csv,0.59605,sfwon17,lr_merge.csv,0.4683
MatthiasEb,nv1x16_val_10.csv,47.6667,MatthiasEb,nv1x16_solution1.csv,0.63291,MatthiasEb,nv1x16_val_10.csv,0.5912,sfwon17,lr_merge(short).csv,0.4438
MatthiasEb,nv1x16_val_3.csv,47.6667,MatthiasEb,nv1x16_val_6.csv,0.62986,MatthiasEb,nv1x16_val_3.csv,0.58449,MatthiasEb,nv1x16_val_3.csv,0.30715
MatthiasEb,nv1x16_val_6.csv,49,MatthiasEb,nv1x16_val_10.csv,0.62902,MatthiasEb,nv1x16_solution1.csv,0.58243,MatthiasEb,nv1x16_val_2.csv,0.28113
MatthiasEb,nv1x16_val_5.csv,50.6667,MatthiasEb,nv1x16_val_3.csv,0.62334,MatthiasEb,nv1x16_val_5.csv,0.5683,MatthiasEb,nv1x16_val_10.csv,0.25234
MatthiasEb,nv1x16_val_1.csv,51,hlya23dd,solution_2_ms2m2.csv,0.61722,MatthiasEb,nv1x16_val_6.csv,0.56195,MatthiasEb,nv1x16_val_6.csv,0.24552
sfwon17,lr_merge.csv,52.6667,MatthiasEb,nv1x16_val_8.csv,0.61341,sfwon17,lr_merge.csv,0.56127,MatthiasEb,nv1x16_val_8.csv,0.24198
MatthiasEb,nv1x16_val_8.csv,53,MatthiasEb,nv1x16_val_7.csv,0.61072,MatthiasEb,nv1x16_val_1.csv,0.56121,MatthiasEb,nv1x16_val_9.csv,0.23844
MatthiasEb,nv1x16_val_9.csv,53.3333,dvarnai,solution.csv,0.60694,MatthiasEb,nv1x16_val_9.csv,0.55642,MatthiasEb,nv4x4_top_val_8.csv,0.23655
MatthiasEb,nv1x16_solution1.csv,53.6667,MatthiasEb,nv1x16_val_4.csv,0.60531,MatthiasEb,nv1x16_val_7.csv,0.55297,MatthiasEb,nv4x4_top_val_4.csv,0.23529
MatthiasEb,nv1x16_val_7.csv,53.6667,MatthiasEb,nv1x16_val_9.csv,0.60513,MatthiasEb,nv1x16_val_4.csv,0.55162,MatthiasEb,nv1x16_val_7.csv,0.22405
sfwon17,lr_merge(short).csv,55.3333,MatthiasEb,nv4x4_top_val_6.csv,0.60323,sfwon17,lr_merge(short).csv,0.55083,MatthiasEb,nv4x4_top_val_9.csv,0.22304
MatthiasEb,nv4x4_top_val_9.csv,58,MatthiasEb,nv4x4_top_val_7.csv,0.59358,MatthiasEb,nv1x16_val_8.csv,0.54769,MatthiasEb,nv4x4_top_val_1.csv,0.22278
MatthiasEb,nv1x16_val_4.csv,58.3333,MatthiasEb,nv4x4_top_val_9.csv,0.58374,MatthiasEb,nv4x4_top_val_6.csv,0.54215,MatthiasEb,nv1x16_val_5.csv,0.22203
MatthiasEb,nv4x4_top_val_1.csv,58.3333,MatthiasEb,nv4x4_top_val_1.csv,0.57879,MatthiasEb,nv4x4_top_val_1.csv,0.53111,MatthiasEb,nv1x16_val_1.csv,0.22051
MatthiasEb,nv4x4_top_val_6.csv,59.3333,MatthiasEb,nv4x4_solution1.csv,0.5745,MatthiasEb,nv4x4_top_val_9.csv,0.529,MatthiasEb,nv4x4_top_val_5.csv,0.22051
MatthiasEb,nv4x4_top_val_4.csv,60,MatthiasEb,nv4x4_top_val_4.csv,0.57354,MatthiasEb,nv4x4_top_val_3.csv,0.52763,MatthiasEb,nv4x4_solution1.csv,0.21748
MatthiasEb,nv4x4_solution1.csv,61.6667,sfwon17,lr_merge.csv,0.57022,MatthiasEb,nv4x4_top_val_5.csv,0.52751,MatthiasEb,nv4x4_top_val_2.csv,0.20902
MatthiasEb,nv4x4_top_val_7.csv,61.6667,MatthiasEb,nv4x4_top_val_3.csv,0.56591,MatthiasEb,nv4x4_top_val_7.csv,0.52422,MatthiasEb,nv4x4_top_val_3.csv,0.2051
MatthiasEb,nv4x4_top_val_8.csv,62,sfwon17,lr_merge(short).csv,0.55622,MatthiasEb,nv4x4_solution1.csv,0.51278,MatthiasEb,nv4x4_top_val_6.csv,0.20472
MatthiasEb,nv4x4_top_val_3.csv,62.3333,MatthiasEb,nv4x4_top_val_5.csv,0.54761,MatthiasEb,nv4x4_top_val_4.csv,0.51258,MatthiasEb,nv4x4_top_val_7.csv,0.2046
MatthiasEb,nv4x4_top_val_5.csv,62.3333,MatthiasEb,nv4x4_top_val_2.csv,0.54317,MatthiasEb,nv4x4_top_val_8.csv,0.50145,MatthiasEb,nv1x16_val_4.csv,0.20384
MatthiasEb,nv4x4_top_val_2.csv,65.3333,MatthiasEb,nv4x4_top_val_8.csv,0.53857,MatthiasEb,nv4x4_top_val_10.csv,0.49756,MatthiasEb,nv1x16_solution1.csv,0.20333
MatthiasEb,nv4x4_top_val_10.csv,67.6667,MatthiasEb,nv4x4_top_val_10.csv,0.53685,MatthiasEb,nv4x4_top_val_2.csv,0.49491,MatthiasEb,nv4x4_top_val_10.csv,0.19853
