subject,run,seizure_id,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc,n_preictal_windows,n_interictal_windows,interictal_hours_monitored,hit,n_false_alarms,false_alarms_per_hour,hit_smoothed,n_false_alarms_smoothed,false_alarms_per_hour_smoothed
1,03,1_03_0,3491,750,30,0.8613333333333333,0.1810344827586207,0.7,0.2876712328767123,0.1362909461075486,0.8754166666666665,30,720,6.0,True,95,15.833333333333334,True,74,12.333333333333334
1,04,1_04_0,3591,650,30,0.8261538461538461,0.2014388489208633,0.9333333333333333,0.33136094674556216,0.22727335225164602,0.919247311827957,30,620,5.166666666666667,True,111,21.483870967741936,True,72,13.935483870967742
1,15,1_15_0,3523,718,30,0.9331476323119777,0.0,0.0,0.0,0.40018447887670594,0.9713178294573644,30,688,5.733333333333333,False,18,3.13953488372093,False,9,1.569767441860465
1,16,1_16_0,3498,743,23,0.9138627187079408,0.25882352941176473,0.9565217391304348,0.4074074074074074,0.615746120069232,0.9797705314009663,23,720,6.0,True,63,10.5,True,19,3.1666666666666665
1,18,1_18_0,3491,750,30,0.9666666666666667,0.8571428571428571,0.2,0.32432432432432434,0.8523178437140376,0.9949537037037037,30,720,6.0,True,1,0.16666666666666666,False,0,0.0
1,26,1_26_0,3611,630,30,0.9619047619047619,0.5576923076923077,0.9666666666666667,0.7073170731707317,0.6190218692441928,0.9834444444444445,30,600,5.0,True,23,4.6,True,14,2.8
