subject,run,seizure_id,n_train,n_test,n_test_preictal,accuracy,precision,recall,f1,average_precision,roc_auc,n_preictal_windows,n_interictal_windows,interictal_hours_monitored,hit,n_false_alarms,false_alarms_per_hour,hit_smoothed,n_false_alarms_smoothed,false_alarms_per_hour_smoothed
1,03,1_03_0,3491,750,30,0.8613333333333333,0.20634920634920634,0.8666666666666667,0.3333333333333333,0.147429907524542,0.8872222222222222,30,720,6.0,True,100,16.666666666666668,True,78,13.0
1,04,1_04_0,3591,650,30,0.8215384615384616,0.16923076923076924,0.7333333333333333,0.275,0.15018230029642726,0.8713440860215054,30,620,5.166666666666667,True,108,20.903225806451612,True,74,14.32258064516129
1,15,1_15_0,3523,718,30,0.9317548746518106,0.0,0.0,0.0,0.3691587069428216,0.9669089147286821,30,688,5.733333333333333,False,19,3.313953488372093,False,7,1.2209302325581395
1,16,1_16_0,3498,743,23,0.9973082099596231,0.92,1.0,0.9583333333333334,0.9999999999999998,1.0,23,720,6.0,True,2,0.3333333333333333,True,0,0.0
1,18,1_18_0,3491,750,30,0.96,0.0,0.0,0.0,0.5041801028077272,0.9792129629629629,30,720,6.0,False,0,0.0,False,0,0.0
1,26,1_26_0,3611,630,30,0.9698412698412698,0.627906976744186,0.9,0.7397260273972602,0.8329557969385154,0.9898888888888889,30,600,5.0,True,16,3.2,True,9,1.8
